id,slug,display_name,category,icon_motif,build_stages
1,neighborhood_restaurant,Neighborhood Restaurant,food,restaurant,5
2,artisan_bakery,Artisan Bakery,food,bread,5
3,coffee_shop,Coffee Shop,food,coffee,5
4,pizza_parlor,Pizza Parlor,food,pizza,5
5,taco_stand,Taco Stand,food,taco,5
6,ice_cream_shop,Ice Cream Shop,food,icecream,5
7,farmers_market,Farmers Market,food,basket,5
8,rooftop_garden_cafe,Rooftop Garden Cafe,food,leaf,5
9,noodle_house,Noodle House,food,bowl,5
10,juice_bar,Juice Bar,food,juice,5
11,starter_cottage,Starter Cottage,housing,house,5
12,townhome,Townhome,housing,townhome,5
13,apartment_building,Apartment Building,housing,apartment,5
14,luxury_apartments,Luxury Apartments,housing,tower,5
15,co_living_house,Co-Living House,housing,people,5
16,brownstone,Brownstone,housing,door,5
17,artist_lofts,Artist Lofts,housing,palette,5
18,garden_flats,Garden Flats,housing,flower,5
19,waterfront_condos,Waterfront Condos,housing,waves,5
20,senior_living,Senior Living,housing,heart,5
21,pear_tech_office,Pear Tech Office,business,pear,5
22,fashion_boutique,Fashion Boutique,business,shirt,5
23,bookstore,Bookstore,business,book,5
24,record_shop,Record Shop,business,record,5
25,bike_shop,Bike Shop,business,bike,5
26,furniture_studio,Furniture Studio,business,chair,5
27,design_agency,Design Agency,business,pen,5
28,coworking_hub,Coworking Hub,business,laptop,5
29,boutique_hotel,Boutique Hotel,business,key,5
30,department_store,Department Store,business,bag,5
31,stock_exchange,Stock Exchange,finance,chart,5
32,community_bank,Community Bank,finance,bank,5
33,credit_union,Credit Union,finance,hands,5
34,brokerage_house,Brokerage House,finance,candles,5
35,insurance_house,Insurance House,finance,shield,5
36,venture_studio,Venture Studio,finance,rocket,5
37,token_vault,Token Vault,finance,vault,5
38,auction_house,Auction House,finance,gavel,5
39,town_hall,Town Hall,civic,hall,5
40,post_office,Post Office,civic,mail,5
41,public_library,Public Library,civic,book,5
42,neighborhood_school,Neighborhood School,civic,pencil,5
43,fire_station,Fire Station,civic,flame,5
44,community_clinic,Community Clinic,civic,medical,5
45,transit_station,Transit Station,civic,train,5
46,public_safety_office,Public Safety Office,civic,badge,5
47,courthouse,Courthouse,civic,scales,5
48,recycling_center,Recycling Center,civic,recycle,5
49,solar_farm,Solar Farm,industry,solar,5
50,wind_lab,Wind Lab,industry,wind,5
51,water_tower,Water Tower,industry,water,5
52,power_station,Power Station,industry,bolt,5
53,data_center,Data Center,industry,server,5
54,microchip_factory,Microchip Factory,industry,chip,5
55,textile_mill,Textile Mill,industry,spool,5
56,distribution_warehouse,Distribution Warehouse,industry,box,5
57,shipping_depot,Shipping Depot,industry,truck,5
58,construction_yard,Construction Yard,industry,cone,5
59,cinema,Cinema,culture,camera,5
60,community_theater,Community Theater,culture,masks,5
61,city_museum,City Museum,culture,museum,5
62,music_hall,Music Hall,culture,music,5
63,boardwalk_arcade,Boardwalk Arcade,culture,joystick,5
64,bowling_alley,Bowling Alley,culture,bowling,5
65,fitness_club,Fitness Club,culture,dumbbell,5
66,skate_park,Skate Park,culture,skate,5
67,sports_arena,Sports Arena,culture,ball,5
68,community_pool,Community Pool,culture,waves,5
69,central_park,Central Park,nature,tree,5
70,playground,Playground,nature,swing,5
71,dog_park,Dog Park,nature,paw,5
72,fountain_plaza,Fountain Plaza,nature,fountain,5
73,botanical_garden,Botanical Garden,nature,flower,5
74,community_garden,Community Garden,nature,shovel,5
75,neighborhood_orchard,Neighborhood Orchard,nature,apple,5
76,pond_pavilion,Pond Pavilion,nature,pond,5
77,tree_nursery,Tree Nursery,nature,seedling,5
78,flower_conservatory,Flower Conservatory,nature,greenhouse,5
79,waterfront_pier,Waterfront Pier,nature,anchor,5
80,hiking_lodge,Hiking Lodge,nature,mountain,5
